,correct,mistaken,mistake_index
0,"הוא למד בחוגים לחינוך ופילוסופיה באוניברסיטה העברית בירושלים
",הוא למד בחוגים לחינךו ופילוסופיה באוניברסיטה העברית בירושלים,3
1,"במהלך מלחמת העולם השנייה עבד במחלקה למחקר צבאי באוניברסיטה
",במהלך מלחמת הענולם השנייה עבד במחלקה למחקר צבאי באוניברסיטה,2
2,"הוא למד צרפתית וספרות בבודפשט ולבסוף הוסמך בלימודים גרמניים
",הוא למד צרתית וספרות בבודפשט ולבסוף הוסמך בלימודים גרמניים,2
3,"אתר האינטרנט של המרכז לענייני ציבור ומדינה
",אתר האינטרנט של המרכז לענייני ציובר ומדינה,5
4,"רשימת פיגועים ופעולות תגמול בשנות החמישים באתר הצנחנים
",רשימת פיגועים ופעולות תגמול בשצות החמישים באתר הצנחנים,4
5,"לאחר שירותו הצבאי נרשם ללימודי פסיכולוגיה ופילוסופיה באוניברסיטה
",לאחר שירותו הצבאי רשם ללימודי פסיכולוגיה ופילוסופיה באוניברסיטה,3
6,"המדינה הצטרפה לאירוויזיון בפעם הראשונה וגם האחרונה בתולדותיה בתחרות
",המדיה הצטרפה לאירוויזיון בפעם הראשונה וגם האחרונה בתולדותיה בתחרות,0
7,"ישנו דיון לגבי המשמעות הפילוסופית שמאחורי הסרט
",ישנו דיון לגבי המשמעות הפילוסופית שמאחורי הןרט,6
8,"כתוצאה ממלחמת העצמאות ובעקבות הסכמי שביתת הנשק נוצר הקו הירוק
",כתוצאה ממלחמת העצמאות ובעקבות הסכמי שביתת הנשק נוצר קו הירוק,8
9,"הסבר לחשיבות הקריטריון ניתן למצוא בדיון שנערך
",הבסר לחשיבות הקריטריון ניתן למצוא בדיון שנערך,0
10,"התנהגות המנהלים צריכה לשמש דוגמה לשיתוף חלוקת אינפורמציה ועזרה לאחרים
",התנהגות המנהלים צריכה לשמח דוגמה לשיתוף חלוקת אינפורמציה ועזרה לאחרים,3
11,"את השכלתו האקדמית רכש באוניברסיטה שם למד משפטים ופילוסופיה
",את השכלתו האקדמית רכש באונירבסיטה שם למד משפטים ופילוסופיה,4
12,"בגרמניה המערבית ובעיקר באזור חבל הריין ניכרת השפעת המטבח הצרפתי
",בגרמניה המערבית וובעיקר באזור חבל הריין ניכרת השפעת המטבח הצרפתי,2
13,"בשטח הבסיס נמצאים שרידי המבצר הצלבני הידוע
",בשטח הבסיס נמצאים שרידי המבצר הצלבנד הידוע,5
14,"אנחנו משתדלים לדווח כמה שפחות על דברים שקרו לאחרונה
",אנחנו משתדלים לדווח כה שפחות על דברים שקרו לאחרונה,3
15,"תקיפת שיירת הנשק הערבית בקריית מוצקין באתר הפלמ""ח
","תקיפת שיירת קנשק הערבית בקריית מוצקין באתר הפלמ""ח",2
16,"דהיינו אותו מספר מצביעים כמו שהצביעו אצלנו בהצבעה האחרונה בפרלמנט
",דהיינו אותו מספר מצביעים כמו שהצביעו אצלנו בהצבעה האחסונה בפרלמנט,8
17,"אשאיר לאחרים שהשתתפו בדיון הקצר להסכים לנוסח
",אשאיר לאחרים שהשתתפו בדיון הקצר להסכים נלוסח,6
18,"בעקבות ההמלצה מתפתח דיון ענייני שבמהלכו הכתבה עוברת שיפורים נוספים
",בעקות ההמלצה מתפתח דיון ענייני שבמהלכו הכתבה עוברת שיפורים נוספים,0
19,"בתום לימודיה התיכוניים הלכה ללמוד משחק באוניברסיטה בוושינגטון הבירה
",ףבתום לימודיה התיכוניים הלכה ללמוד משחק באוניברסיטה בוושינגטון הבירה,0
