month,count
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,587
2019-02,339
2019-03,65
2019-04,0
2019-05,83
2019-06,197
2019-07,223
2019-08,230
2019-09,218
2019-10,199
2019-11,208
2019-12,210
2020-01,203
2020-02,110
2020-03,199
2020-04,234
2020-05,144
2020-06,229
2020-07,145
2020-08,205
2020-09,149
2020-10,151
2020-11,146
2020-12,113
2021-01,186
2021-02,185
2021-03,106
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
