month,count
2018-01,0
2018-02,0
2018-03,7
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,116
2019-02,79
2019-03,15
2019-04,0
2019-05,18
2019-06,41
2019-07,47
2019-08,50
2019-09,38
2019-10,41
2019-11,42
2019-12,52
2020-01,54
2020-02,23
2020-03,47
2020-04,54
2020-05,37
2020-06,30
2020-07,33
2020-08,34
2020-09,26
2020-10,30
2020-11,28
2020-12,12
2021-01,44
2021-02,42
2021-03,20
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
