month,count
2018-01,0
2018-02,0
2018-03,49
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,868
2019-02,476
2019-03,97
2019-04,0
2019-05,149
2019-06,300
2019-07,319
2019-08,307
2019-09,257
2019-10,288
2019-11,283
2019-12,317
2020-01,307
2020-02,163
2020-03,333
2020-04,273
2020-05,196
2020-06,262
2020-07,213
2020-08,254
2020-09,223
2020-10,200
2020-11,205
2020-12,155
2021-01,256
2021-02,251
2021-03,171
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
