2021-01: [('להשים', 114)]
2021-02: [('להשים', 74)]
2021-03: [('להשים', 68)]
2020-01: [('להשים', 53)]
2020-02: [('להשים', 48)]
2020-03: [('להשים', 96)]
2020-04: [('להשים', 78)]
2020-05: [('להשים', 84)]
2020-06: [('להשים', 102)]
2020-07: [('להשים', 105)]
2020-08: [('להשים', 93)]
2020-09: [('להשים', 113)]
2020-10: [('להשים', 128)]
2020-11: [('להשים', 99)]
2020-12: [('להשים', 101)]
2019-01: [('להשים', 20)]
2019-02: [('להשים', 23)]
2019-03: [('להשים', 11)]
2019-04: []
2019-05: [('להשים', 17)]
2019-06: [('להשים', 32)]
2019-07: [('להשים', 44)]
2019-08: [('להשים', 55)]
2019-09: [('להשים', 46)]
2019-10: [('להשים', 30)]
2019-11: [('להשים', 33)]
2019-12: [('להשים', 54)]
2018-01: []
2018-02: []
2018-03: [('להשים', 11)]
2018-04: [('להשים', 15)]
2018-05: [('להשים', 11)]
2018-06: [('להשים', 19)]
2018-07: [('להשים', 12)]
2018-08: [('להשים', 13)]
2018-09: [('להשים', 17)]
2018-10: [('להשים', 12)]
2018-11: [('להשים', 20)]
2018-12: [('להשים', 19)]
