month,count
2018-03,1011725
2018-04,1445762
2018-05,1642294
2018-06,1536106
2018-07,1616687
2018-08,1555860
2018-09,1379567
2018-10,1698131
2018-11,1747374
2018-12,1890230
2019-01,1995976
2019-02,1922535
2019-03,648740
2019-05,1148221
2019-06,2122977
2019-07,2423795
2019-08,2598513
2019-09,2885096
2019-10,2476856
2019-11,2846384
2019-12,2753912
2020-01,3042919
2020-02,3086553
2020-03,5155885
2020-04,4016542
2020-05,3736859
2020-06,3743276
2020-07,5017710
2020-08,4932451
2020-09,4964905
2020-10,5450753
2020-11,4631769
2020-12,5044195
2021-01,5480123
2021-02,4474839
2021-03,3213133
