month,count
2018-03,34377
2018-04,40918
2018-05,44584
2018-06,40860
2018-07,41018
2018-08,42968
2018-09,44033
2018-10,46305
2018-11,48770
2018-12,50416
2019-01,51435
2019-02,47735
2019-03,30437
2019-05,40372
2019-06,51620
2019-07,54235
2019-08,55637
2019-09,60778
2019-10,56920
2019-11,58936
2019-12,60531
2020-01,63837
2020-02,60007
2020-03,82531
2020-04,80168
2020-05,76611
2020-06,73176
2020-07,83605
2020-08,85970
2020-09,87168
2020-10,91542
2020-11,83366
2020-12,85851
2021-01,88542
2021-02,81382
2021-03,69589
