month,count
2018-03,13307654
2018-04,19363817
2018-05,21575758
2018-06,20285873
2018-07,21951155
2018-08,21378086
2018-09,18612760
2018-10,22851426
2018-11,23014083
2018-12,24580992
2019-01,26009401
2019-02,25536851
2019-03,8675015
2019-05,15360077
2019-06,28925936
2019-07,33001767
2019-08,35889676
2019-09,39082653
2019-10,33200637
2019-11,38767058
2019-12,37520452
2020-01,41355548
2020-02,42184647
2020-03,70036875
2020-04,55070322
2020-05,50487813
2020-06,50572137
2020-07,66506078
2020-08,66329259
2020-09,65406631
2020-10,69766861
2020-11,56346121
2020-12,60920330
2021-01,67966114
2021-02,56743751
2021-03,40498426
