date,covid,politics,trial,security
2018-03-09,0,71,20,30
2018-03-10,0,844,114,75
2018-03-11,0,2620,149,81
2018-03-12,1,1777,213,54
2018-03-13,2,2346,115,101
2018-03-14,1,788,65,80
2018-03-15,0,533,71,123
2018-03-16,1,385,41,81
2018-03-17,0,290,70,64
2018-03-18,1,461,149,65
2018-03-19,1,293,69,95
2018-03-20,2,269,99,103
2018-03-21,0,276,83,267
2018-03-22,0,350,62,162
2018-03-23,0,192,35,151
2018-03-24,1,252,31,57
2018-03-25,0,414,85,124
2018-03-26,0,175,71,91
2018-03-27,0,223,85,67
2018-03-28,0,120,46,45
2018-03-29,0,183,105,47
2018-03-30,0,97,28,30
2018-03-31,0,105,20,78
2018-04-01,0,130,27,49
2018-04-02,0,453,44,102
2018-04-03,0,429,47,81
2018-04-04,0,190,25,94
2018-04-05,0,217,36,43
2018-04-06,0,69,28,37
2018-04-07,0,178,23,51
2018-04-08,0,210,51,120
2018-04-09,0,237,106,211
2018-04-10,1,197,64,124
2018-04-11,0,429,53,256
2018-04-12,0,177,27,167
2018-04-13,0,156,26,141
2018-04-14,0,147,25,358
2018-04-15,1,465,28,162
2018-04-16,0,241,102,175
2018-04-17,1,213,88,202
2018-04-18,0,267,29,168
2018-04-19,0,206,32,86
2018-04-20,3,210,66,246
2018-04-21,0,319,55,143
2018-04-22,0,274,103,120
2018-04-23,0,298,75,155
2018-04-24,0,402,36,261
2018-04-25,1,237,74,180
2018-04-26,1,208,27,185
2018-04-27,0,103,31,143
2018-04-28,0,118,19,141
2018-04-29,0,222,22,214
2018-04-30,0,437,58,1817
2018-05-01,1,276,44,1380
2018-05-02,0,174,26,490
2018-05-03,0,228,30,343
2018-05-04,0,198,30,187
2018-05-05,0,195,24,200
2018-05-06,0,664,78,395
2018-05-07,0,634,35,459
2018-05-08,0,326,22,1539
2018-05-09,2,363,55,1173
2018-05-10,5,263,28,1187
2018-05-11,5,154,21,491
2018-05-12,0,240,27,410
2018-05-13,0,230,46,263
2018-05-14,2,214,48,261
2018-05-15,0,206,42,281
2018-05-16,4,240,43,214
2018-05-17,0,180,79,209
2018-05-18,0,135,33,139
2018-05-19,1,113,14,93
2018-05-20,0,156,25,160
2018-05-21,0,204,32,334
2018-05-22,0,189,30,321
2018-05-23,2,222,94,258
2018-05-24,0,236,100,212
2018-05-25,0,155,68,140
2018-05-26,0,187,55,110
2018-05-27,0,235,55,191
2018-05-28,0,215,76,222
2018-05-29,0,194,53,267
2018-05-30,0,168,27,229
2018-05-31,3,197,25,256
2018-06-01,0,200,48,169
2018-06-02,0,146,27,167
2018-06-03,0,292,23,194
2018-06-04,1,294,147,277
2018-06-05,0,276,54,368
2018-06-06,1,200,26,229
2018-06-07,0,206,41,166
2018-06-08,0,210,55,204
2018-06-09,1,103,34,148
2018-06-10,0,167,56,208
2018-06-11,1,192,39,189
2018-06-12,0,253,30,402
2018-06-13,0,223,61,170
2018-06-14,0,224,43,115
2018-06-15,0,151,23,339
2018-06-16,0,146,41,102
2018-06-17,3,227,43,123
2018-06-18,0,217,84,332
2018-06-19,0,207,48,257
2018-06-20,0,217,43,403
2018-06-21,1,228,22,107
2018-06-22,0,189,34,59
2018-06-23,1,248,32,70
2018-06-24,0,497,45,79
2018-06-25,1,360,38,379
2018-06-26,0,209,31,226
2018-06-27,6,229,117,169
2018-06-28,2,167,36,127
2018-06-29,0,143,51,109
2018-06-30,0,155,35,99
2018-07-01,1,232,56,178
2018-07-02,1,215,39,168
2018-07-03,0,174,27,227
2018-07-04,2,170,40,219
2018-07-05,0,169,39,154
2018-07-06,0,148,31,96
2018-07-07,0,213,50,82
2018-07-08,0,285,44,106
2018-07-09,0,270,54,162
2018-07-10,0,246,71,97
2018-07-11,0,218,67,139
2018-07-12,0,200,69,163
2018-07-13,1,229,41,71
2018-07-14,0,245,22,101
2018-07-15,0,289,36,107
2018-07-16,0,344,21,129
2018-07-17,0,281,40,132
2018-07-18,0,285,49,91
2018-07-19,0,280,46,133
2018-07-20,0,171,28,84
2018-07-21,0,132,27,96
2018-07-22,0,259,35,132
2018-07-23,0,321,12,198
2018-07-24,1,286,32,138
2018-07-25,0,266,33,123
2018-07-26,1,348,42,87
2018-07-27,0,218,21,79
2018-07-28,0,266,33,74
2018-07-29,0,389,72,80
2018-07-30,0,389,45,151
2018-07-31,0,335,42,196
2018-08-01,0,307,40,179
2018-08-02,0,345,47,117
2018-08-03,0,310,59,73
2018-08-04,0,424,44,79
2018-08-05,0,407,32,120
2018-08-06,0,428,72,259
2018-08-07,0,401,42,264
2018-08-08,0,487,19,141
2018-08-09,0,319,14,124
2018-08-10,4,247,14,93
2018-08-11,0,434,26,90
2018-08-12,0,571,93,77
2018-08-13,1,458,82,124
2018-08-14,0,336,50,59
2018-08-15,0,379,42,70
2018-08-16,2,343,56,87
2018-08-17,0,288,74,63
2018-08-18,0,241,34,61
2018-08-19,1,266,46,60
2018-08-20,3,308,37,122
2018-08-21,0,390,59,116
2018-08-22,0,492,46,116
2018-08-23,2,389,41,121
2018-08-24,1,228,29,109
2018-08-25,0,165,30,76
2018-08-26,0,266,25,112
2018-08-27,1,404,19,145
2018-08-28,1,369,81,170
2018-08-29,2,309,34,163
2018-08-30,0,328,210,140
2018-08-31,0,263,203,118
2018-09-01,1,234,56,113
2018-09-02,0,249,37,93
2018-09-03,0,363,48,200
2018-09-04,0,342,41,126
2018-09-05,0,344,57,111
2018-09-06,0,385,43,90
2018-09-07,0,227,40,113
2018-09-08,0,201,33,100
2018-09-09,0,190,18,73
2018-09-10,0,181,16,63
2018-09-11,0,174,24,67
2018-09-12,1,211,28,70
2018-09-13,0,316,74,64
2018-09-14,0,229,55,49
2018-09-15,0,231,44,61
2018-09-16,0,362,47,60
2018-09-17,1,411,66,71
2018-09-18,1,166,5,96
2018-09-19,0,171,11,76
2018-09-20,0,393,25,164
2018-09-21,0,293,20,109
2018-09-22,0,273,42,392
2018-09-23,1,221,35,205
2018-09-24,0,167,27,281
2018-09-25,0,248,38,358
2018-09-26,1,387,19,248
2018-09-27,2,446,44,481
2018-09-28,0,343,37,317
2018-09-29,0,176,17,174
2018-09-30,2,258,34,124
2018-10-01,0,198,18,176
2018-10-02,0,387,17,186
2018-10-03,0,474,75,157
2018-10-04,0,456,82,156
2018-10-05,1,363,55,70
2018-10-06,0,387,62,101
2018-10-07,0,621,60,65
2018-10-08,0,634,52,100
2018-10-09,1,789,58,68
2018-10-10,0,587,79,61
2018-10-11,0,523,49,70
2018-10-12,0,422,44,50
2018-10-13,0,399,43,65
2018-10-14,0,750,38,103
2018-10-15,0,728,52,115
2018-10-16,1,831,50,111
2018-10-17,0,759,20,87
2018-10-18,0,682,70,100
2018-10-19,0,519,38,107
2018-10-20,0,501,38,82
2018-10-21,0,673,53,105
2018-10-22,0,818,47,106
2018-10-23,1,891,81,66
2018-10-24,1,1194,133,67
2018-10-25,1,877,83,55
2018-10-26,0,468,48,103
2018-10-27,0,492,28,174
2018-10-28,0,855,32,113
2018-10-29,0,1484,46,82
2018-10-30,0,3892,65,69
2018-10-31,0,2019,39,100
2018-11-01,1,1150,31,80
2018-11-02,1,572,17,153
2018-11-03,0,612,40,178
2018-11-04,0,691,43,126
2018-11-05,1,835,46,266
2018-11-06,0,896,53,118
2018-11-07,0,1516,47,54
2018-11-08,0,660,364,51
2018-11-09,0,468,190,77
2018-11-10,0,469,197,67
2018-11-11,0,544,205,66
2018-11-12,0,603,102,68
2018-11-13,0,1574,49,166
2018-11-14,0,2325,54,115
2018-11-15,0,1654,65,107
2018-11-16,0,1598,78,65
2018-11-17,0,1377,73,88
2018-11-18,0,2402,104,109
2018-11-19,0,1638,121,96
2018-11-20,0,635,125,140
2018-11-21,0,475,103,86
2018-11-22,0,352,82,111
2018-11-23,1,227,65,65
2018-11-24,1,254,112,124
2018-11-25,0,372,110,126
2018-11-26,3,499,155,75
2018-11-27,0,358,167,81
2018-11-28,0,370,107,67
2018-11-29,1,299,74,104
2018-11-30,0,288,67,78
2018-12-01,0,340,58,74
2018-12-02,1,520,703,79
2018-12-03,1,374,391,124
2018-12-04,0,335,180,117
2018-12-05,0,305,203,86
2018-12-06,1,300,188,177
2018-12-07,0,172,111,54
2018-12-08,0,267,97,76
2018-12-09,0,357,135,91
2018-12-10,0,374,86,57
2018-12-11,0,395,88,77
2018-12-12,0,471,89,92
2018-12-13,0,332,64,83
2018-12-14,0,271,54,38
2018-12-15,1,277,66,94
2018-12-16,0,379,53,53
2018-12-17,0,324,70,57
2018-12-18,0,325,54,69
2018-12-19,1,387,176,193
2018-12-20,1,355,203,234
2018-12-21,0,218,118,151
2018-12-22,1,258,123,182
2018-12-23,0,473,184,147
2018-12-24,0,4324,171,111
2018-12-25,0,2711,170,97
2018-12-26,1,1659,98,112
2018-12-27,1,1468,171,86
2018-12-28,0,744,110,57
2018-12-29,4,1180,101,65
2018-12-30,1,1341,106,70
2018-12-31,2,1177,140,98
2019-01-01,0,1605,105,58
2019-01-02,1,1183,156,129
2019-01-03,0,1226,140,141
2019-01-04,0,956,135,68
2019-01-05,1,1222,200,74
2019-01-06,2,1283,132,95
2019-01-07,1,1422,389,107
2019-01-08,4,1638,534,74
2019-01-09,1,1713,191,149
2019-01-10,0,974,129,110
2019-01-11,0,564,85,75
2019-01-12,2,517,70,78
2019-01-13,2,808,139,256
2019-01-14,0,785,137,170
2019-01-15,0,754,142,172
2019-01-16,0,755,499,125
2019-01-17,0,867,372,65
2019-01-18,0,545,284,42
2019-01-19,0,699,382,72
2019-01-20,0,999,286,143
2019-01-21,4,1146,274,314
2019-01-22,0,1077,408,155
2019-01-23,1,1008,348,133
2019-01-24,0,1019,192,117
2019-01-25,0,581,122,93
2019-01-26,0,553,199,117
2019-01-27,0,746,219,97
2019-01-28,0,1001,259,152
2019-01-29,0,1309,159,194
2019-01-30,0,1271,285,130
2019-01-31,0,1208,227,125
2019-02-01,0,1040,202,82
2019-02-02,0,852,253,94
2019-02-03,0,1025,267,134
2019-02-04,0,1036,144,106
2019-02-05,0,1114,118,116
2019-02-06,0,1156,82,106
2019-02-07,2,1074,104,89
2019-02-08,1,652,84,64
2019-02-09,3,632,92,59
2019-02-10,0,1064,108,108
2019-02-11,0,1250,114,158
2019-02-12,0,1145,144,214
2019-02-13,1,1329,233,309
2019-02-14,1,1086,166,323
2019-02-15,1,940,99,135
2019-02-16,1,789,108,173
2019-02-17,0,1103,109,245
2019-02-18,0,1334,80,112
2019-02-19,0,1454,81,96
2019-02-20,0,1878,141,86
2019-02-21,0,2842,177,130
2019-02-22,0,1273,135,105
2019-02-23,0,1140,148,129
2019-02-24,0,1299,240,118
2019-02-25,0,1259,164,145
2019-02-26,0,1616,110,215
2019-02-27,0,1330,293,165
2019-02-28,0,2000,1408,92
2019-03-01,0,1103,691,45
2019-03-02,0,1059,434,59
2019-03-03,0,1315,477,125
2019-03-04,0,1477,255,90
2019-03-05,0,1785,318,76
2019-03-06,0,1399,198,80
2019-03-07,1,1360,292,70
2019-03-08,2,838,171,58
2019-03-09,0,743,133,58
2019-03-10,0,1299,133,59
2019-05-17,0,753,258,162
2019-05-18,2,461,241,137
2019-05-19,0,600,181,150
2019-05-20,1,612,243,141
2019-05-21,1,543,220,195
2019-05-22,0,582,224,106
2019-05-23,1,1509,250,110
2019-05-24,2,1475,238,103
2019-05-25,1,1298,170,102
2019-05-26,0,3929,302,83
2019-05-27,0,5197,221,78
2019-05-28,0,4105,321,131
2019-05-29,2,6559,258,127
2019-05-30,4,5620,264,133
2019-05-31,1,1916,155,125
2019-06-01,0,1487,180,105
2019-06-02,0,2056,168,161
2019-06-03,1,1854,232,144
2019-06-04,5,1203,164,114
2019-06-05,0,1265,115,124
2019-06-06,0,1259,131,123
2019-06-07,0,771,93,128
2019-06-08,0,440,70,60
2019-06-09,1,525,116,101
2019-06-10,0,1423,148,214
2019-06-11,0,1138,129,140
2019-06-12,0,1155,147,138
2019-06-13,1,964,152,246
2019-06-14,1,528,53,192
2019-06-15,1,779,71,151
2019-06-16,0,1185,166,150
2019-06-17,0,822,133,211
2019-06-18,0,746,76,131
2019-06-19,1,856,70,150
2019-06-20,0,942,122,526
2019-06-21,0,588,83,596
2019-06-22,0,451,68,385
2019-06-23,1,1000,126,328
2019-06-24,3,1065,149,277
2019-06-25,0,2318,137,278
2019-06-26,1,3249,180,168
2019-06-27,0,1369,181,143
2019-06-28,1,762,93,148
2019-06-29,1,709,63,100
2019-06-30,3,1036,113,125
2019-07-01,0,905,96,371
2019-07-02,7,1103,133,234
2019-07-03,1,1018,79,120
2019-07-04,2,724,103,102
2019-07-05,3,475,59,100
2019-07-06,1,491,67,117
2019-07-07,1,759,151,220
2019-07-08,0,764,186,244
2019-07-09,0,644,145,191
2019-07-10,0,949,160,189
2019-07-11,0,955,141,191
2019-07-12,1,559,100,183
2019-07-13,0,733,163,139
2019-07-14,0,975,142,171
2019-07-15,3,858,150,261
2019-07-16,0,829,224,198
2019-07-17,1,953,249,136
2019-07-18,6,1230,259,223
2019-07-19,2,1027,131,270
2019-07-20,0,815,110,268
2019-07-21,2,1240,135,237
2019-07-22,0,1448,155,235
2019-07-23,1,1319,161,196
2019-07-24,0,1327,187,147
2019-07-25,3,1765,227,93
2019-07-26,0,913,249,116
2019-07-27,0,802,166,95
2019-07-28,0,1374,146,203
2019-07-29,0,1427,129,103
2019-07-30,1,1390,162,148
2019-07-31,0,1499,217,146
2019-08-01,2,1847,167,116
2019-08-02,0,1309,132,63
2019-08-03,0,1258,141,144
2019-08-04,1,2014,192,126
2019-08-05,0,1710,247,94
2019-08-06,1,1276,425,105
2019-08-07,2,1461,330,85
2019-08-08,0,1283,174,109
2019-08-09,0,829,111,80
2019-08-10,2,624,145,71
2019-08-11,0,1018,139,152
2019-08-12,1,1168,183,169
2019-08-13,0,1281,190,141
2019-08-14,1,1669,185,135
2019-08-15,1,1199,186,144
2019-08-16,0,874,121,106
2019-08-17,0,850,111,119
2019-08-18,0,1274,158,127
2019-08-19,0,1335,326,130
2019-08-20,0,1402,241,131
2019-08-21,1,1284,210,136
2019-08-22,0,1312,169,142
2019-08-23,2,920,93,87
2019-08-24,2,820,154,214
2019-08-25,0,1554,191,562
2019-08-26,0,1785,181,451
2019-08-27,0,1917,351,376
2019-08-28,1,1587,561,206
2019-08-29,0,1841,597,198
2019-08-30,1,1361,293,191
2019-08-31,0,1186,366,170
2019-09-01,0,1880,305,255
2019-09-02,0,1864,343,233
2019-09-03,3,2135,263,215
2019-09-04,0,2610,283,255
2019-09-05,1,3384,237,225
2019-09-06,3,3448,235,168
2019-09-07,1,3106,233,156
2019-09-08,0,5095,429,168
2019-09-09,0,4030,441,759
2019-09-10,1,3961,305,545
2019-09-11,0,3098,235,474
2019-09-12,1,2856,196,340
2019-09-13,0,2722,208,147
2019-09-14,0,3252,266,252
2019-09-15,0,5094,334,268
2019-09-16,0,5178,438,496
2019-09-17,3,8131,345,232
2019-09-18,0,7012,244,358
2019-09-19,1,6799,368,263
2019-09-20,1,3888,209,169
2019-09-21,3,2814,285,174
2019-09-22,2,3198,234,188
2019-09-23,0,2418,241,133
2019-09-24,1,1874,135,225
2019-09-25,0,3524,259,246
2019-09-26,0,3007,288,145
2019-09-27,2,1356,245,189
2019-09-28,1,1201,180,105
2019-09-29,0,973,197,80
2019-09-30,0,547,118,165
2019-10-01,0,1007,192,197
2019-10-02,0,1517,504,124
2019-10-03,0,1805,347,412
2019-10-04,0,1080,293,286
2019-10-05,0,778,374,264
2019-10-06,0,933,349,220
2019-10-07,0,778,271,325
2019-10-08,0,344,172,130
2019-10-09,0,454,93,165
2019-10-10,0,944,147,268
2019-10-11,0,704,231,236
2019-10-12,0,512,229,160
2019-10-13,1,502,177,182
2019-10-14,0,474,143,118
2019-10-15,0,761,120,98
2019-10-16,1,1021,184,128
2019-10-17,5,1118,164,113
2019-10-18,2,813,281,80
2019-10-19,0,624,264,103
2019-10-20,1,684,304,122
2019-10-21,2,1159,172,112
2019-10-22,0,1458,197,129
2019-10-23,0,1477,220,152
2019-10-24,1,1514,394,129
2019-10-25,0,710,285,159
2019-10-26,1,869,988,90
2019-10-27,0,923,621,118
2019-10-28,0,989,362,247
2019-10-29,0,884,290,157
2019-10-30,0,697,203,94
2019-10-31,3,1081,155,160
2019-11-01,4,886,162,117
2019-11-02,1,879,156,142
2019-11-03,0,1161,208,148
2019-11-04,0,1001,278,150
