date,covid,politics,trial,security
2018-03,10,13064,1826,2071
2018-04,8,7439,1427,6232
2018-05,25,7391,1365,12414
2018-06,18,6576,1407,5986
2018-07,7,7873,1264,3993
2018-08,18,10902,1700,3648
2018-09,10,8192,1081,4549
2018-10,6,24673,1655,3070
2018-11,9,25713,3046,3107
2018-12,16,22413,4561,3101
2019-01,19,31434,7199,3830
2019-02,10,34712,5404,3908
2019-03,3,12378,3102,720
2019-05,15,31230,3244,1800
2019-06,21,33945,3729,5857
2019-07,35,31270,4782,5647
2019-08,18,41248,7070,5080
2019-09,24,100455,8099,7628
2019-10,17,28614,8726,5278
2019-11,19,41488,17009,5945
2019-12,18,52167,18310,4270
2020-01,3333,47815,13929,9890
2020-02,31322,64659,17557,5832
2020-03,204805,118622,16007,6510
2020-04,125158,49905,11120,3109
2020-05,60766,35208,14886,3672
2020-06,56853,25776,10288,3172
2020-07,114321,44981,14984,5903
2020-08,66338,69865,16707,6463
2020-09,127537,34909,12206,4750
2020-10,105059,51852,12266,4547
2020-11,55309,63431,8309,10728
2020-12,68460,73974,8572,4927
