month,count
2018-10,18633
2018-07,15859
2018-09,11790
2018-05,14734
2018-12,28655
2018-03,13357
2018-04,19084
2018-11,25934
2018-08,17052
2018-06,12891
2019-11,83865
2019-06,44855
2019-01,38633
2019-08,58485
2019-03,19282
2019-02,46537
2019-12,72669
2019-10,55732
2019-09,107334
2019-07,48605
2019-05,28926
2020-02,99839
2020-05,72826
2020-12,109362
2020-10,109330
2020-09,107017
2020-07,119545
2020-11,72342
2020-06,56405
2020-01,81740
2020-08,125254
2020-04,83048
2020-03,172896
2021-03,83324
2021-01,112855
2021-02,96980
